policy,backend,problem,max_mode,use_ess,success,crashed,objective_final,qs_final,aspect_final,iota_final,nfev,njev,total_wall_time_s,jax_backend,jax_device_kind,solver_device,jax_platforms,message,output_dir
continuation,gpu,qh,3,False,False,False,0.06506564246112367,0.0649592410899093,7.010315104033133,,9,8,136.47447344195098,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qh/mode3/no_ess
continuation,gpu,qh,3,True,False,False,0.05149528564962767,0.05148611382606422,7.00302850186783,,9,8,109.88861561077647,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qh/mode3/ess
continuation,gpu,qi,1,False,False,False,0.0470186087345936,0.030217410984477593,7.12961943430719,,10,8,68.21783466776833,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qi/mode1/no_ess
continuation,gpu,qi,1,True,False,False,0.0470186087345936,0.030217410984477593,7.12961943430719,,10,8,69.9665467441082,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qi/mode1/ess
continuation,gpu,qi,2,False,False,False,0.034399387156138,0.03335467029594147,7.032322080072244,,12,8,128.93007312808186,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qi/mode2/no_ess
continuation,gpu,qi,2,True,False,False,0.013704006729170215,0.013700134001444247,7.001967924725687,,12,10,130.81973923998885,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qi/mode2/ess
continuation,gpu,qi,3,False,False,False,0.0386064905902474,0.0380994066570082,6.977481475775726,,14,9,152.79766290681437,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qi/mode3/no_ess
continuation,gpu,qi,3,True,False,False,0.0073514337340821675,0.007328391527104529,6.995199770112001,,14,11,148.43601973471232,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qi/mode3/ess
continuation,gpu,qp,1,False,False,False,0.6871787237380687,0.6305415476481084,7.237985663622749,-0.3150854989023525,5,4,78.51175715890713,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qp/mode1/no_ess
continuation,gpu,qp,1,True,False,False,0.6871787237380687,0.6305415476481084,7.237985663622749,-0.3150854989023525,5,4,37.53071522596292,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qp/mode1/ess
continuation,gpu,qp,2,False,False,False,0.5155412257858205,0.5119061528560296,7.060291565992193,-0.607322247973849,7,6,138.17289792816155,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qp/mode2/no_ess
continuation,gpu,qp,2,True,False,False,0.42112883930102407,0.25704692670030005,7.405070256376254,-0.33747105883851736,7,6,93.32527125882916,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qp/mode2/ess
continuation,gpu,qp,3,False,False,False,0.626671844150211,0.6012591483860262,7.159413599683919,-0.8720524406663792,9,6,120.3034822915215,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qp/mode3/no_ess
continuation,gpu,qp,3,True,False,False,0.47811447903643445,0.45527422403482437,7.151129927551131,-0.31981140827236487,9,6,106.87835162016563,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/continuation/qp/mode3/ess
direct,gpu,qa,1,False,False,False,0.009189380298113626,0.008958948803159932,6.002420878973714,0.3950143121629895,12,10,138.89773259311914,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qa/mode1/no_ess
direct,gpu,qa,1,True,False,False,0.009189380298113626,0.008958948803159932,6.002420878973714,0.3950143121629895,12,10,139.00439809891395,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qa/mode1/ess
direct,gpu,qa,2,False,False,False,0.0411886946593717,0.025574322093812312,6.110101215737915,0.3509060505754395,12,9,241.4584897828754,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qa/mode2/no_ess
direct,gpu,qa,2,True,False,False,0.0006614274376053425,0.0006214604173356106,6.0063215980917235,0.40993353319287257,12,10,254.62273099808954,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qa/mode2/ess
direct,gpu,qa,3,False,False,False,0.06812701598113435,0.009672431922289119,5.951186888780489,0.17320501645533765,12,9,170.29289966612123,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qa/mode3/no_ess
direct,gpu,qa,3,True,False,False,0.00014321595128531086,0.00014061126504926754,5.999894330615954,0.408389558999119,24,15,279.19164323201403,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qa/mode3/ess
direct,gpu,qh,1,False,False,False,0.17120892841431598,0.17045324336427548,7.02748972626347,,5,5,39.42450074199587,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qh/mode1/no_ess
direct,gpu,qh,1,True,False,False,0.17120892841431598,0.17045324336427548,7.02748972626347,,5,5,38.09220618405379,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qh/mode1/ess
direct,gpu,qh,2,False,False,False,0.05561820164240812,0.055617529505609,7.00081983949595,,4,4,62.21768546802923,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qh/mode2/no_ess
direct,gpu,qh,2,True,False,False,0.04084193710555169,0.040693072877598976,7.012200992908477,,5,5,80.53274192591198,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qh/mode2/ess
direct,gpu,qh,3,False,False,False,0.09777193413354143,0.09518352091896012,7.050876450491178,,4,3,59.38131913705729,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qh/mode3/no_ess
direct,gpu,qh,3,True,False,False,0.048344744320232,0.04822300929931786,7.011033359457307,,5,5,83.95034043793567,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qh/mode3/ess
direct,gpu,qi,1,False,False,False,0.0470186087345936,0.030217410984477593,7.12961943430719,,10,8,110.5596455251798,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qi/mode1/no_ess
direct,gpu,qi,1,True,False,False,0.0470186087345936,0.030217410984477593,7.12961943430719,,10,8,69.04341050004587,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qi/mode1/ess
direct,gpu,qi,2,False,False,False,0.03356722946690869,0.03342480080956207,7.011934347797287,,9,7,122.0287720169872,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qi/mode2/no_ess
direct,gpu,qi,2,True,False,False,0.0060987731651831216,0.0058625353709097095,6.984629970908505,,10,9,118.05811744485982,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qi/mode2/ess
direct,gpu,qi,3,False,False,False,0.056494800543795166,0.0557795069550349,6.973255026850635,,9,7,116.99761984916404,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qi/mode3/no_ess
direct,gpu,qi,3,True,False,False,0.014633664052473757,0.013212215502063817,6.962297897268058,,10,7,110.7969731669873,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qi/mode3/ess
direct,gpu,qp,1,False,False,False,0.6871787237380687,0.6305415476481084,7.237985663622749,-0.3150854989023525,5,4,38.605219160206616,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qp/mode1/no_ess
direct,gpu,qp,1,True,False,False,0.6871787237380687,0.6305415476481084,7.237985663622749,-0.3150854989023525,5,4,36.40169588313438,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qp/mode1/ess
direct,gpu,qp,2,False,False,False,1.2261268164907602,1.2193582128401577,6.917728476064908,-1.252698801332342,4,3,61.41220042994246,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qp/mode2/no_ess
direct,gpu,qp,2,True,False,False,0.4395248675382509,0.4273844697773026,7.1101834731751925,-0.8995726655630335,5,4,78.5287053748034,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qp/mode2/ess
direct,gpu,qp,3,False,False,False,1.1029248975003052,1.0774831345013332,7.1595047428729695,-1.0788741604613434,4,3,62.95670458488166,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qp/mode3/no_ess
direct,gpu,qp,3,True,False,False,0.6622378614902747,0.6538195116976974,7.091751565613768,-1.1607765409097761,5,3,74.42344870092347,gpu,NVIDIA RTX A4000,gpu,,The maximum number of function evaluations is exceeded.,examples/optimization/results/qs_ess_sweep/gpu/direct/qp/mode3/ess
